entityid,DAY,SERVICE,ROUTE
,TUESDAY,A,71
,FRIDAY,A,79
,TUESDAY,CART,103
,THURSDAY,A,78
,THURSDAY,A,21
,MONDAY,CART,129
,MONDAY,CART,101
,MONDAY,CART,101
,WEDNESDAY,CART,114
,WEDNESDAY,CART,113
,WEDNESDAY,A,19
,THURSDAY,CART,116
,WEDNESDAY,A,76
,MONDAY,A,68
,TUESDAY,CART,120
,TUESDAY,A,5
,TUESDAY,CART,112
,WEDNESDAY,CART,131
,TUESDAY,CART,132
,MONDAY,A,32
,THURSDAY,A,77
,MONDAY,CART,133
,TUESDAY,CART,102
,THURSDAY,A,74
,FRIDAY,A,80
,WEDNESDAY,A,76
,TUESDAY,CART,124
,THURSDAY,CART,107
,MONDAY,CART,118
,WEDNESDAY,CART,123
,FRIDAY,CART,130
,MONDAY,CART,100
,THURSDAY,CART,126
,MONDAY,CART,110
,THURSDAY,A,24
,WEDNESDAY,CART,122
,WEDNESDAY,CART,104
,MONDAY,A,3
,TUESDAY,A,7
,WEDNESDAY,A,76
,WEDNESDAY,A,18
,TUESDAY,CART,121
,WEDNESDAY,CART,105
,MONDAY,A,69
,WEDNESDAY,A,73
,MONDAY,CART,101
,FRIDAY,CART,108
,MONDAY,CART,129
,TUESDAY,A,6
,TUESDAY,A,72
,THURSDAY,CART,128
,FRIDAY,A,75
,THURSDAY,CART,127
,MONDAY,A,70
,TUESDAY,CART,111
,THURSDAY,CART,115
,WEDNESDAY,CART,125
,FRIDAY,CART,117
,MONDAY,CART,101
,FRIDAY,A,81
,FRIDAY,CART,134
,MONDAY,CART,119
,MONDAY,CART,109
,THURSDAY,CART,106
