entityid,NAME
,WHITMORE PARK
,GLENCAIRN VILLAGE
,COVENTRY PLACE
,DOUGLAS PARK
,WASHINGTON PARK
,VARSITY PARK
,EASTGATE
,INDUSTRIAL ROSS
,NORMANVIEW W. ADDN.
,ROSEMONT NORTH
,WASCANA CRESCENTS
,WASCANA PARK
,RIVER BEND
,HILLSDALE
,EASTVIEW
,ARNHEM PLACE
,PARLIAMENT PLACE
,BRODERS ANNEX
,EASTPOINTE ESTATES
,GLEN ELM PARK S.
,
,CHURCHILL DOWNS
,GLENCAIRN
,MCCARTHY PARK
,MAYFAIR
,WOODLAND GROVE
,HARBOUR LANDING
,
,NORMANVIEW WEST
,CHURCHILL PLACE
,CPR ANNEX
,UH
,PREMIER PLACE
,LAKESIDE GARDENS
,OLD 33
,CORONATION PARK
,LAKEVIEW PLACE
,LAKEVIEW
,LAKERIDGE ADDITION
,RIVERSIDE
,WINDSOR PLACE
,MOUNT ROYAL
,PASQUA PLACE
,INDUSTRIAL CENTRE
,PARKVIEW
,UH
,EASTERN ANNEX
,NORMANVIEW
,HIGHLAND PARK
,LAKEVIEW A
,DOMINION HEIGHTS
,BALBRIGGAN PLACE
,THE GREENS ON GARDINER
,MOUNT PLEASANT
,ENGLEWOOD
,WINDSOR PARK
,
,KENSINGTON GREENS
,SPRUCE MEADOWS
,DOUGLAS PLACE
,GARDEN RIDGE
,ROSEMONT
,UH
,WESTHILL PARK
,GARDINER PARK
,ASSINIBOIA EAST
,LEWVAN PARK
,SKYVIEW
,UNIVERSITY PARK
,ARCOLA SUB
,THE CREEKS
,RICHMOND PLACE
,ARGYLE PARK
,
,GLEN ELM PARK
,WOOD MEADOWS
,DEWDNEY PLACE
,BELVEDERE
,UPLANDS
,ROSEMONT SOUTH
,DIEPPE PLACE
,UH
,WASCANA VIEW
,ASSINIBOIA  PLACE
,GARDINER HEIGHTS
,MIRROR SUN GARDENS
,TRANSCONA
,CREEKSIDE
,WALSH ACRES
,TUXEDO PARK
,UNIVERSITY PARK EAST
,NORTH ANNEX
,LAKEWOOD
,GRAND TRUNK ANNEX
,ROTHWELL PLACE
,WASCANA ADDITION
,CONNAUGHT PARK
,HAWKSTONE
,ROCHDALE PARK
,REGENT PARK
,LAKEVIEW SOUTH
,INNISMORE
,LAKERIDGE
,UH
,MAPLE RIDGE
,SHERWOOD ESTATES
,ALBERT PARK
,PARKDALE
,NORMANDY HEIGHTS
,INDUSTRIAL PARK
,PIPELINES & REF.
,LAKEVIEW CENTRE
,FAIRWAYS WEST
,CITYVIEW
,CRESCENTS
,RIVER HEIGHTS
,CORONATION PARK N.
,PARKRIDGE
